,boiling_point,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
sample_1,350.5,7.506944444444445,1.1805555555555556,7.506944444444445,1.1805555555555556,0.37255115928096294,53.06399999999999,50.04,53.026549096,20,0,0.09053137537380465,-0.19312126078672762,0.19312126078672762,0.09053137537380465,2.0,2.25,2.25,2.9217836800202113,48.793987519471216,3.414213562373095,2.231670645876131,2.231670645876131,1.914213562373095,0.9205302228086549,0.9205302228086549,0.33322359010551206,0.33322359010551206,0.09128709291752768,0.09128709291752768,0.0,0.0,-0.77,6.854752972273345,3.2299999999999995,2.23,1.23,25.172111905907226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,6.578935683598497,0.0,6.076020106833881,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,0.0,0.0,12.654955790432378,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,0.0,11.33111286753076,0.0,12.654955790432378,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,6.069221312792274,0.0,6.578935683598497,5.261891554738487,0.0,0.0,0.0,7.506944444444445,0.0,0.0,1.6944444444444444,1.1805555555555556,3.1180555555555554,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6959799999999999,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_2,325.8,9.055555555555555,0.6388888888888888,9.055555555555555,0.6388888888888888,0.31313126444279954,56.064,52.032000000000004,56.026214748,22,0,0.14174582194221017,-0.29858708973922715,0.29858708973922715,0.14174582194221017,1.75,2.0,2.0,2.7320508075688776,24.264662506490403,3.414213562373095,2.270055610029662,2.270055610029662,1.914213562373095,0.9772838841927123,0.9772838841927123,0.37178502388347023,0.37178502388347023,0.09622504486493764,0.09622504486493764,0.0,0.0,-0.5900000000000001,6.854752972273345,3.4100000000000006,2.4100000000000006,1.4100000000000017,24.941054324482277,0.0,6.286160523129555,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.578935683598497,6.076020106833881,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,0.0,12.654955790432378,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,6.286160523129555,0.0,6.076020106833881,0.0,0.0,6.578935683598497,4.794537184071822,0.0,0.0,9.055555555555555,0.0,0.0,0.0,0.0,1.8333333333333333,3.111111111111111,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.37129999999999996,16.261,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_3,414.2,9.25,-0.9814814814814812,9.25,0.8333333333333333,0.4508580596042506,72.06299999999999,68.031,72.021129368,28,0,0.32719811224525835,-0.4780891485530972,0.4780891485530972,0.32719811224525835,2.0,2.2,2.2,3.204805417886435,55.91340299823497,4.284457050376173,2.639918936339994,2.639918936339994,2.270055610029662,1.1246543680405865,1.1246543680405865,0.5423618132207977,0.5423618132207977,0.17462042625086102,0.17462042625086102,0.0,0.0,-0.79,9.65148445440323,4.21,1.5215264797507788,3.21,29.735288076678287,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,6.578935683598497,0.0,6.076020106833881,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,0.0,12.654955790432378,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.076020106833881,0.0,0.0,0.0,6.578935683598497,5.106527394840706,0.0,0.0,9.25,7.604166666666666,0.0,-0.9814814814814812,0.0,0.8333333333333333,2.960648148148148,0.0,0.0,5,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.25699999999999995,17.8328,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_4,318.1,5.0679012345679,0.5555555555555557,5.0679012345679,0.5555555555555557,0.32727594889750306,76.526,71.486,76.00797784,24,0,0.040106491218081464,-0.12221964766558473,0.12221964766558473,0.040106491218081464,2.0,2.25,2.25,2.2968352619191394,17.24511249783653,3.414213562373095,2.369528304571948,3.1254572505904026,1.914213562373095,1.0837578228401503,1.6182803066649991,0.44297848455690475,0.7515851844810886,0.10910894511799618,0.32732683535398854,0.0,0.0,0.02999999999999997,6.854752972273345,4.030000000000002,3.0300000000000016,2.0300000000000016,31.082798451320183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.179875573831012,6.076020106833881,0.0,5.880003444970339,0.0,0.0,11.600939890232516,0.0,0.0,0.0,0.0,5.880003444970339,12.654955790432378,0.0,0.0,0.0,0.0,0.0,11.600939890232516,5.880003444970339,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,6.076020106833881,0.0,6.578935683598497,11.600939890232516,0.0,5.0679012345679,0.0,0.0,0.0,0.5555555555555557,0.0,1.6404320987654322,3.3472222222222223,0.0,0.3333333333333333,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.4112,20.916999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_5,225.4,3.361111111111111,1.75,3.361111111111111,1.75,0.3570688167166915,42.080999999999996,36.033,42.046950192,18,0,-0.0472598095819833,-0.10336125074726941,0.10336125074726941,0.0472598095819833,2.0,2.0,2.0,2.1874960973678963,7.5097750043269365,2.7071067811865475,2.284457050376173,2.284457050376173,1.4142135623730951,0.9855985596534889,0.9855985596534889,0.408248290463863,0.408248290463863,0.0,0.0,0.0,0.0,-0.26,2.7548875021634682,2.7400000000000007,1.7400000000000013,1.7399999999999973,20.779532224438512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,6.076020106833881,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,6.923737199690624,6.578935683598497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,5.25,0.0,0.3333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1923,15.871000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_6,361.3,5.1913580246913575,0.6172839506172845,5.1913580246913575,0.6172839506172845,0.4495213755957226,110.971,106.93900000000001,109.969005488,30,0,0.026234894773756807,-0.0917115577758554,0.0917115577758554,0.026234894773756807,1.8,2.0,2.0,3.1431973062780685,42.854752972273346,4.284457050376173,2.8332792152080803,4.345137107244989,2.270055610029662,1.1958752613354189,2.0102755148166307,0.6958752613354189,1.5102755148166311,0.15034825006011232,0.6984805798330338,0.0,0.0,0.31999999999999995,9.65148445440323,5.32,2.5514814814814817,4.320000000000001,41.386064678201855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,6.923737199690624,10.56748828099181,0.0,0.0,23.20187978046503,0.0,0.0,0.0,6.923737199690624,0.0,10.56748828099181,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,6.923737199690624,10.56748828099181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.032286352113597,0.0,5.535201928878213,6.923737199690624,0.0,0.0,23.20187978046503,0.0,10.233796296296294,0.0,0.6172839506172845,1.3209876543209877,0.0,0.0,0.0,1.716820987654321,0.0,0.3333333333333333,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.3253000000000004,25.462999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_7,370.2,7.756944444444445,0.08333333333333348,7.756944444444445,0.08333333333333348,0.425825650815454,58.08,52.032000000000004,58.041864812,24,0,0.06093122118130107,-0.3923178086285883,0.3923178086285883,0.06093122118130107,2.0,2.25,2.25,2.2968352619191394,17.24511249783653,3.414213562373095,2.4387774270626785,2.4387774270626785,1.914213562373095,1.1327243469445638,1.1327243469445638,0.4712493204298682,0.4712493204298682,0.12909944487358055,0.12909944487358055,0.0,0.0,-0.3,6.854752972273345,3.7,2.700000000000001,1.7000000000000013,25.573765976634522,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,6.076020106833881,0.0,0.0,6.606881964512918,5.106527394840706,0.0,0.0,0.0,0.0,0.0,6.606881964512918,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,0.0,0.0,6.076020106833881,0.0,0.0,6.578935683598497,5.106527394840706,0.0,0.0,0.0,7.756944444444445,0.0,0.0,0.0,1.4305555555555556,3.3125,0.0,0.3333333333333333,4,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.1647,17.2828,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_8,278.7,4.770833333333333,1.625,4.770833333333333,1.625,0.4802459826722736,98.14499999999998,88.065,98.07316494,40,0,0.08580595545251712,-0.47333078669709105,0.47333078669709105,0.08580595545251712,1.0,1.4285714285714286,1.7142857142857142,2.9788666301410167,62.24920506009684,5.535533905932738,4.717649367222366,4.717649367222366,3.414213562373095,2.29277172583695,2.29277172583695,1.07491495713053,1.07491495713053,0.4293003672395861,0.4293003672395861,0.20249576142632877,0.20249576142632877,-0.7200000000000001,35.509609925153406,6.28,5.280000000000001,5.280000000000002,44.29830076495095,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667762,13.847474399381248,0.0,12.52416089684158,4.736862953800049,0.0,0.0,0.0,0.0,13.847474399381248,0.0,24.676201110509343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,13.847474399381248,24.676201110509343,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52416089684158,25.99951461304901,0.0,4.736862953800049,4.770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.916666666666666,3.8125,0.0,0.3333333333333333,7,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2.0702,30.712999999999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_9,321.2,9.17361111111111,0.6388888888888888,9.17361111111111,0.6388888888888888,0.40325990291792796,58.08,52.032000000000004,58.041864812,24,0,0.11921494428801727,-0.30341423261619294,0.30341423261619294,0.11921494428801727,2.0,2.25,2.25,2.2968352619191386,17.24511249783653,3.414213562373095,2.6927053408400363,2.6927053408400363,1.914213562373095,1.3510573320459265,1.3510573320459265,0.5749149571305296,0.5749149571305296,0.16666666666666669,0.16666666666666669,0.0,0.0,-0.33,6.854752972273345,3.67,2.67,1.6699999999999997,25.630657356666532,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,13.344558822616634,0.0,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,6.4208216229260096,6.286160523129555,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.17361111111111,0.0,0.0,0.0,0.0,1.5138888888888888,1.8125,0.0,0.6666666666666666,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5952999999999999,16.355,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_10,327.5,9.256944444444445,-0.99537037037037,9.256944444444445,0.11111111111111094,0.40517900622359315,73.071,68.031,73.02950297991,30,0,0.04110896445466204,-0.5501828650303152,0.5501828650303152,0.04110896445466204,2.0,2.2,2.2,2.847378923087672,40.1577218810798,4.284457050376173,3.0236033621142737,3.0236033621142737,2.270055610029662,1.4689084622436843,1.4689084622436843,0.72556185852142,0.72556185852142,0.2886751345948129,0.2886751345948129,0.0,0.0,-0.53,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,30.42489110886254,9.901064578912528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,5.969305287951849,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,13.344558822616634,0.0,0.0,0.0,0.0,40.129999999999995,5.969305287951849,9.901064578912528,0.0,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,9.256944444444445,9.256944444444445,0.0,-0.99537037037037,0.0,0.11111111111111094,1.537037037037037,0.0,0.6666666666666666,5,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,-0.8537000000000001,15.298000000000002,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
