,Species,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
sample1,setosa,5.1,3.5,1.4,0.2
sample2,setosa,4.9,3,1.4,0.2
sample3,setosa,4.7,3.2,1.3,0.2
sample4,setosa,4.6,3.1,1.5,0.2
sample5,setosa,5,3.6,1.4,0.2
sample6,setosa,5.4,3.9,1.7,0.4
sample7,setosa,4.6,3.4,1.4,0.3
sample8,setosa,5,3.4,1.5,0.2
sample9,setosa,4.4,2.9,1.4,0.2
sample10,setosa,4.9,3.1,1.5,0.1
sample11,setosa,5.4,3.7,1.5,0.2
sample12,setosa,4.8,3.4,1.6,0.2
sample13,setosa,4.8,3,1.4,0.1
sample14,setosa,4.3,3,1.1,0.1
sample15,setosa,5.8,4,1.2,0.2
sample16,setosa,5.7,4.4,1.5,0.4
sample17,setosa,5.4,3.9,1.3,0.4
sample18,setosa,5.1,3.5,1.4,0.3
sample19,setosa,5.7,3.8,1.7,0.3
sample20,setosa,5.1,3.8,1.5,0.3
sample21,setosa,5.4,3.4,1.7,0.2
sample22,setosa,5.1,3.7,1.5,0.4
sample23,setosa,4.6,3.6,1,0.2
sample24,setosa,5.1,3.3,1.7,0.5
sample25,setosa,4.8,3.4,1.9,0.2
sample26,setosa,5,3,1.6,0.2
sample27,setosa,5,3.4,1.6,0.4
sample28,setosa,5.2,3.5,1.5,0.2
sample29,setosa,5.2,3.4,1.4,0.2
sample30,setosa,4.7,3.2,1.6,0.2
sample31,setosa,4.8,3.1,1.6,0.2
sample32,setosa,5.4,3.4,1.5,0.4
sample33,setosa,5.2,4.1,1.5,0.1
sample34,setosa,5.5,4.2,1.4,0.2
sample35,setosa,4.9,3.1,1.5,0.2
sample36,setosa,5,3.2,1.2,0.2
sample37,setosa,5.5,3.5,1.3,0.2
sample38,setosa,4.9,3.6,1.4,0.1
sample39,setosa,4.4,3,1.3,0.2
sample40,setosa,5.1,3.4,1.5,0.2
sample41,setosa,5,3.5,1.3,0.3
sample42,setosa,4.5,2.3,1.3,0.3
sample43,setosa,4.4,3.2,1.3,0.2
sample44,setosa,5,3.5,1.6,0.6
sample45,setosa,5.1,3.8,1.9,0.4
sample46,setosa,4.8,3,1.4,0.3
sample47,setosa,5.1,3.8,1.6,0.2
sample48,setosa,4.6,3.2,1.4,0.2
sample49,setosa,5.3,3.7,1.5,0.2
sample50,setosa,5,3.3,1.4,0.2
sample51,versicolor,7,3.2,4.7,1.4
sample52,versicolor,6.4,3.2,4.5,1.5
sample53,versicolor,6.9,3.1,4.9,1.5
sample54,versicolor,5.5,2.3,4,1.3
sample55,versicolor,6.5,2.8,4.6,1.5
sample56,versicolor,5.7,2.8,4.5,1.3
sample57,versicolor,6.3,3.3,4.7,1.6
sample58,versicolor,4.9,2.4,3.3,1
sample59,versicolor,6.6,2.9,4.6,1.3
sample60,versicolor,5.2,2.7,3.9,1.4
sample61,versicolor,5,2,3.5,1
sample62,versicolor,5.9,3,4.2,1.5
sample63,versicolor,6,2.2,4,1
sample64,versicolor,6.1,2.9,4.7,1.4
sample65,versicolor,5.6,2.9,3.6,1.3
sample66,versicolor,6.7,3.1,4.4,1.4
sample67,versicolor,5.6,3,4.5,1.5
sample68,versicolor,5.8,2.7,4.1,1
sample69,versicolor,6.2,2.2,4.5,1.5
sample70,versicolor,5.6,2.5,3.9,1.1
sample71,versicolor,5.9,3.2,4.8,1.8
sample72,versicolor,6.1,2.8,4,1.3
sample73,versicolor,6.3,2.5,4.9,1.5
sample74,versicolor,6.1,2.8,4.7,1.2
sample75,versicolor,6.4,2.9,4.3,1.3
sample76,versicolor,6.6,3,4.4,1.4
sample77,versicolor,6.8,2.8,4.8,1.4
sample78,versicolor,6.7,3,5,1.7
sample79,versicolor,6,2.9,4.5,1.5
sample80,versicolor,5.7,2.6,3.5,1
sample81,versicolor,5.5,2.4,3.8,1.1
sample82,versicolor,5.5,2.4,3.7,1
sample83,versicolor,5.8,2.7,3.9,1.2
sample84,versicolor,6,2.7,5.1,1.6
sample85,versicolor,5.4,3,4.5,1.5
sample86,versicolor,6,3.4,4.5,1.6
sample87,versicolor,6.7,3.1,4.7,1.5
sample88,versicolor,6.3,2.3,4.4,1.3
sample89,versicolor,5.6,3,4.1,1.3
sample90,versicolor,5.5,2.5,4,1.3
sample91,versicolor,5.5,2.6,4.4,1.2
sample92,versicolor,6.1,3,4.6,1.4
sample93,versicolor,5.8,2.6,4,1.2
sample94,versicolor,5,2.3,3.3,1
sample95,versicolor,5.6,2.7,4.2,1.3
sample96,versicolor,5.7,3,4.2,1.2
sample97,versicolor,5.7,2.9,4.2,1.3
sample98,versicolor,6.2,2.9,4.3,1.3
sample99,versicolor,5.1,2.5,3,1.1
sample100,versicolor,5.7,2.8,4.1,1.3
sample101,virginica,6.3,3.3,6,2.5
sample102,virginica,5.8,2.7,5.1,1.9
sample103,virginica,7.1,3,5.9,2.1
sample104,virginica,6.3,2.9,5.6,1.8
sample105,virginica,6.5,3,5.8,2.2
sample106,virginica,7.6,3,6.6,2.1
sample107,virginica,4.9,2.5,4.5,1.7
sample108,virginica,7.3,2.9,6.3,1.8
sample109,virginica,6.7,2.5,5.8,1.8
sample110,virginica,7.2,3.6,6.1,2.5
sample111,virginica,6.5,3.2,5.1,2
sample112,virginica,6.4,2.7,5.3,1.9
sample113,virginica,6.8,3,5.5,2.1
sample114,virginica,5.7,2.5,5,2
sample115,virginica,5.8,2.8,5.1,2.4
sample116,virginica,6.4,3.2,5.3,2.3
sample117,virginica,6.5,3,5.5,1.8
sample118,virginica,7.7,3.8,6.7,2.2
sample119,virginica,7.7,2.6,6.9,2.3
sample120,virginica,6,2.2,5,1.5
sample121,virginica,6.9,3.2,5.7,2.3
sample122,virginica,5.6,2.8,4.9,2
sample123,virginica,7.7,2.8,6.7,2
sample124,virginica,6.3,2.7,4.9,1.8
sample125,virginica,6.7,3.3,5.7,2.1
sample126,virginica,7.2,3.2,6,1.8
sample127,virginica,6.2,2.8,4.8,1.8
sample128,virginica,6.1,3,4.9,1.8
sample129,virginica,6.4,2.8,5.6,2.1
sample130,virginica,7.2,3,5.8,1.6
sample131,virginica,7.4,2.8,6.1,1.9
sample132,virginica,7.9,3.8,6.4,2
sample133,virginica,6.4,2.8,5.6,2.2
sample134,virginica,6.3,2.8,5.1,1.5
sample135,virginica,6.1,2.6,5.6,1.4
sample136,virginica,7.7,3,6.1,2.3
sample137,virginica,6.3,3.4,5.6,2.4
sample138,virginica,6.4,3.1,5.5,1.8
sample139,virginica,6,3,4.8,1.8
sample140,virginica,6.9,3.1,5.4,2.1
sample141,virginica,6.7,3.1,5.6,2.4
sample142,virginica,6.9,3.1,5.1,2.3
sample143,virginica,5.8,2.7,5.1,1.9
sample144,virginica,6.8,3.2,5.9,2.3
sample145,virginica,6.7,3.3,5.7,2.5
sample146,virginica,6.7,3,5.2,2.3
sample147,virginica,6.3,2.5,5,1.9
sample148,virginica,6.5,3,5.2,2
sample149,virginica,6.2,3.4,5.4,2.3
sample150,virginica,5.9,3,5.1,1.8
